filepaths,family,genus,species,serialnumber,clusterID
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus pori_-970908580.jpg,Mullidae,Upeneus,pori_-970908580.jpg,Upeneus pori,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus vittatus_1844271814.jpg,Mullidae,Upeneus,vittatus_1844271814.jpg,Upeneus vittatus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus jansenii_-75387827.jpg,Mullidae,Parupeneus,jansenii_-75387827.jpg,Parupeneus jansenii,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus porphyreus_-330201940.jpg,Mullidae,Parupeneus,porphyreus_-330201940.jpg,Parupeneus porphyreus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys pfluegeri_1390249049.jpg,Mullidae,Mulloidichthys,pfluegeri_1390249049.jpg,Mulloidichthys pfluegeri,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sulphureus_431295668.jpg,Mullidae,Upeneus,sulphureus_431295668.jpg,Upeneus sulphureus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus francisi_-672311472.jpg,Mullidae,Upeneus,francisi_-672311472.jpg,Upeneus francisi,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus quadrilineatus_268057123.jpg,Mullidae,Upeneus,quadrilineatus_268057123.jpg,Upeneus quadrilineatus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus chrysonemus_-606241834.jpg,Mullidae,Parupeneus,chrysonemus_-606241834.jpg,Parupeneus chrysonemus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus multifasciatus_-1586561157.jpg,Mullidae,Parupeneus,multifasciatus_-1586561157.jpg,Parupeneus multifasciatus,2.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_72267288.jpg,Mullidae,Parupeneus,heptacanthus_72267288.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys pfluegeri_-1357366874.jpg,Mullidae,Mulloidichthys,pfluegeri_-1357366874.jpg,Mulloidichthys pfluegeri,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus spilurus_-1140380998.jpg,Mullidae,Parupeneus,spilurus_-1140380998.jpg,Parupeneus spilurus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus sp._-320465715.jpg,Mullidae,Parupeneus,sp._-320465715.jpg,Parupeneus sp.,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus guttatus_-855662015.jpg,Mullidae,Upeneus,guttatus_-855662015.jpg,Upeneus guttatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus chrysonemus_-698694334.jpg,Mullidae,Parupeneus,chrysonemus_-698694334.jpg,Parupeneus chrysonemus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_-1296173454.jpg,Mullidae,Parupeneus,heptacanthus_-1296173454.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus doriae_1903959250.jpg,Mullidae,Upeneus,doriae_1903959250.jpg,Upeneus doriae,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sulphureus_1118583958.jpg,Mullidae,Upeneus,sulphureus_1118583958.jpg,Upeneus sulphureus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus pleurostigma_382989623.jpg,Mullidae,Parupeneus,pleurostigma_382989623.jpg,Parupeneus pleurostigma,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus chrysonemus_-1684185612.jpg,Mullidae,Parupeneus,chrysonemus_-1684185612.jpg,Parupeneus chrysonemus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus tragula_-1413122514.jpg,Mullidae,Upeneus,tragula_-1413122514.jpg,Upeneus tragula,13.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus multifasciatus_455450565.jpg,Mullidae,Parupeneus,multifasciatus_455450565.jpg,Parupeneus multifasciatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus spilurus_170237619.jpg,Mullidae,Parupeneus,spilurus_170237619.jpg,Parupeneus spilurus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus bifasciatus_201041768.jpg,Mullidae,Parupeneus,bifasciatus_201041768.jpg,Parupeneus bifasciatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sundaicus_596244059.jpg,Mullidae,Upeneus,sundaicus_596244059.jpg,Upeneus sundaicus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus jansenii_148404106.jpg,Mullidae,Parupeneus,jansenii_148404106.jpg,Parupeneus jansenii,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus vittatus_2142360858.jpg,Mullidae,Upeneus,vittatus_2142360858.jpg,Upeneus vittatus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_2068416271.jpg,Mullidae,Parupeneus,heptacanthus_2068416271.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus subvittatus_-932652791.jpg,Mullidae,Upeneus,subvittatus_-932652791.jpg,Upeneus subvittatus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus taeniopterus_-75444223.jpg,Mullidae,Upeneus,taeniopterus_-75444223.jpg,Upeneus taeniopterus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus subvittatus_-1191728600.jpg,Mullidae,Upeneus,subvittatus_-1191728600.jpg,Upeneus subvittatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sp._1935966301.jpg,Mullidae,Upeneus,sp._1935966301.jpg,Upeneus sp.,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus indicus_-112280053.jpg,Mullidae,Parupeneus,indicus_-112280053.jpg,Parupeneus indicus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys vanicolensis_-1054494933.jpg,Mullidae,Mulloidichthys,vanicolensis_-1054494933.jpg,Mulloidichthys vanicolensis,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys mimicus_915228207.jpg,Mullidae,Mulloidichthys,mimicus_915228207.jpg,Mulloidichthys mimicus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus ciliatus_-1656382399.jpg,Mullidae,Parupeneus,ciliatus_-1656382399.jpg,Parupeneus ciliatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus vittatus_2084032915.jpg,Mullidae,Upeneus,vittatus_2084032915.jpg,Upeneus vittatus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus cyclostomus_-834078388.jpg,Mullidae,Parupeneus,cyclostomus_-834078388.jpg,Parupeneus cyclostomus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys flavolineatus_-1491540808.jpg,Mullidae,Mulloidichthys,flavolineatus_-1491540808.jpg,Mulloidichthys flavolineatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus ischyrus_1597047198.jpg,Mullidae,Parupeneus,ischyrus_1597047198.jpg,Parupeneus ischyrus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_-2022731207.jpg,Mullidae,Parupeneus,heptacanthus_-2022731207.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus multifasciatus_-775198048.jpg,Mullidae,Parupeneus,multifasciatus_-775198048.jpg,Parupeneus multifasciatus,12.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys pfluegeri_1633514485.jpg,Mullidae,Mulloidichthys,pfluegeri_1633514485.jpg,Mulloidichthys pfluegeri,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus cyclostomus_-1960169382.jpg,Mullidae,Parupeneus,cyclostomus_-1960169382.jpg,Parupeneus cyclostomus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneichthys_Upeneichthys sp._464245568.jpg,Mullidae,Upeneichthys,sp._464245568.jpg,Upeneichthys sp.,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sundaicus_148705794.jpg,Mullidae,Upeneus,sundaicus_148705794.jpg,Upeneus sundaicus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sp._967751500.jpg,Mullidae,Upeneus,sp._967751500.jpg,Upeneus sp.,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_-474275883.jpg,Mullidae,Parupeneus,heptacanthus_-474275883.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus pori_-565402579.jpg,Mullidae,Upeneus,pori_-565402579.jpg,Upeneus pori,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus biaculeatus_-1779543172.jpg,Mullidae,Parupeneus,biaculeatus_-1779543172.jpg,Parupeneus biaculeatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus spilurus_894636057.jpg,Mullidae,Parupeneus,spilurus_894636057.jpg,Parupeneus spilurus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus doriae_1334120196.jpg,Mullidae,Upeneus,doriae_1334120196.jpg,Upeneus doriae,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus doriae_853621685.jpg,Mullidae,Upeneus,doriae_853621685.jpg,Upeneus doriae,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus indicus_492128752.jpg,Mullidae,Parupeneus,indicus_492128752.jpg,Parupeneus indicus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys pfluegeri_131825682.jpg,Mullidae,Mulloidichthys,pfluegeri_131825682.jpg,Mulloidichthys pfluegeri,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sp._-1074402450.jpg,Mullidae,Upeneus,sp._-1074402450.jpg,Upeneus sp.,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus ischyrus_685930748.jpg,Mullidae,Parupeneus,ischyrus_685930748.jpg,Parupeneus ischyrus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus chrysonemus_-357496673.jpg,Mullidae,Parupeneus,chrysonemus_-357496673.jpg,Parupeneus chrysonemus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus barberinus_1539122285.jpg,Mullidae,Parupeneus,barberinus_1539122285.jpg,Parupeneus barberinus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus margaritatus_-798587850.jpg,Mullidae,Parupeneus,margaritatus_-798587850.jpg,Parupeneus margaritatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_1946433444.jpg,Mullidae,Parupeneus,heptacanthus_1946433444.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus pori_-650556950.jpg,Mullidae,Upeneus,pori_-650556950.jpg,Upeneus pori,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus barberinoides_-1319340719.jpg,Mullidae,Parupeneus,barberinoides_-1319340719.jpg,Parupeneus barberinoides,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus vittatus_-662700551.jpg,Mullidae,Upeneus,vittatus_-662700551.jpg,Upeneus vittatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus moluccensis_1965701393.jpg,Mullidae,Upeneus,moluccensis_1965701393.jpg,Upeneus moluccensis,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys flavolineatus_-73332493.jpg,Mullidae,Mulloidichthys,flavolineatus_-73332493.jpg,Mulloidichthys flavolineatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus moluccensis_2113726887.jpg,Mullidae,Upeneus,moluccensis_2113726887.jpg,Upeneus moluccensis,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus tragula_10240012.jpg,Mullidae,Upeneus,tragula_10240012.jpg,Upeneus tragula,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus macronema_-1175257277.jpg,Mullidae,Parupeneus,macronema_-1175257277.jpg,Parupeneus macronema,6.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus moluccensis_921783806.jpg,Mullidae,Upeneus,moluccensis_921783806.jpg,Upeneus moluccensis,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus barberinus_465175964.jpg,Mullidae,Parupeneus,barberinus_465175964.jpg,Parupeneus barberinus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus ciliatus_-1159799442.jpg,Mullidae,Parupeneus,ciliatus_-1159799442.jpg,Parupeneus ciliatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus francisi_255180011.jpg,Mullidae,Upeneus,francisi_255180011.jpg,Upeneus francisi,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus bifasciatus_-635980701.jpg,Mullidae,Parupeneus,bifasciatus_-635980701.jpg,Parupeneus bifasciatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus spilurus_49395576.jpg,Mullidae,Parupeneus,spilurus_49395576.jpg,Parupeneus spilurus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus bifasciatus_-918989526.jpg,Mullidae,Parupeneus,bifasciatus_-918989526.jpg,Parupeneus bifasciatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus orientalis_1030803918.jpg,Mullidae,Parupeneus,orientalis_1030803918.jpg,Parupeneus orientalis,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus margaritatus_-987782359.jpg,Mullidae,Parupeneus,margaritatus_-987782359.jpg,Parupeneus margaritatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus indicus_-1804886223.jpg,Mullidae,Parupeneus,indicus_-1804886223.jpg,Parupeneus indicus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus heptacanthus_1027336710.jpg,Mullidae,Parupeneus,heptacanthus_1027336710.jpg,Parupeneus heptacanthus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus bifasciatus_94625097.jpg,Mullidae,Parupeneus,bifasciatus_94625097.jpg,Parupeneus bifasciatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus chrysonemus_1980939237.jpg,Mullidae,Parupeneus,chrysonemus_1980939237.jpg,Parupeneus chrysonemus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus arge_561297391.jpg,Mullidae,Upeneus,arge_561297391.jpg,Upeneus arge,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus cyclostomus_-912408489.jpg,Mullidae,Parupeneus,cyclostomus_-912408489.jpg,Parupeneus cyclostomus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus sp._1298257418.jpg,Mullidae,Parupeneus,sp._1298257418.jpg,Parupeneus sp.,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus macronema_-1026748216.jpg,Mullidae,Parupeneus,macronema_-1026748216.jpg,Parupeneus macronema,6.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys vanicolensis_46165136.jpg,Mullidae,Mulloidichthys,vanicolensis_46165136.jpg,Mulloidichthys vanicolensis,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sp._-448842153.jpg,Mullidae,Upeneus,sp._-448842153.jpg,Upeneus sp.,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus multifasciatus_1801982882.jpg,Mullidae,Parupeneus,multifasciatus_1801982882.jpg,Parupeneus multifasciatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus barberinoides_-1108908738.jpg,Mullidae,Parupeneus,barberinoides_-1108908738.jpg,Parupeneus barberinoides,6.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus taeniopterus_1112936448.jpg,Mullidae,Upeneus,taeniopterus_1112936448.jpg,Upeneus taeniopterus,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus tragula_1140984349.jpg,Mullidae,Upeneus,tragula_1140984349.jpg,Upeneus tragula,13.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus ischyrus_-1802421049.jpg,Mullidae,Parupeneus,ischyrus_-1802421049.jpg,Parupeneus ischyrus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneichthys_Upeneichthys lineatus_1229998694.jpg,Mullidae,Upeneichthys,lineatus_1229998694.jpg,Upeneichthys lineatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus rubescens_-1769547203.jpg,Mullidae,Parupeneus,rubescens_-1769547203.jpg,Parupeneus rubescens,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus forsskali_844848083.jpg,Mullidae,Parupeneus,forsskali_844848083.jpg,Parupeneus forsskali,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus tragula_-1084024297.jpg,Mullidae,Upeneus,tragula_-1084024297.jpg,Upeneus tragula,13.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus vittatus_-1042683688.jpg,Mullidae,Upeneus,vittatus_-1042683688.jpg,Upeneus vittatus,13.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus cyclostomus_-1446110627.jpg,Mullidae,Parupeneus,cyclostomus_-1446110627.jpg,Parupeneus cyclostomus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sundaicus_-683871323.jpg,Mullidae,Upeneus,sundaicus_-683871323.jpg,Upeneus sundaicus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys flavolineatus_-738007558.jpg,Mullidae,Mulloidichthys,flavolineatus_-738007558.jpg,Mulloidichthys flavolineatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sp._1085288915.jpg,Mullidae,Upeneus,sp._1085288915.jpg,Upeneus sp.,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus barberinus_-534609945.jpg,Mullidae,Parupeneus,barberinus_-534609945.jpg,Parupeneus barberinus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus margaritatus_1011728767.jpg,Mullidae,Parupeneus,margaritatus_1011728767.jpg,Parupeneus margaritatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus multifasciatus_713915937.jpg,Mullidae,Parupeneus,multifasciatus_713915937.jpg,Parupeneus multifasciatus,3.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus ciliatus_-1196427968.jpg,Mullidae,Parupeneus,ciliatus_-1196427968.jpg,Parupeneus ciliatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus margaritatus_-1706877612.jpg,Mullidae,Parupeneus,margaritatus_-1706877612.jpg,Parupeneus margaritatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sp._-1707205030.jpg,Mullidae,Upeneus,sp._-1707205030.jpg,Upeneus sp.,5.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Parupeneus_Parupeneus ciliatus_-1045563237.jpg,Mullidae,Parupeneus,ciliatus_-1045563237.jpg,Parupeneus ciliatus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Mulloidichthys_Mulloidichthys mimicus_1688440900.jpg,Mullidae,Mulloidichthys,mimicus_1688440900.jpg,Mulloidichthys mimicus,10.0
/Users/shawn/Developer/randall_interested_edited/Mullidae/Upeneus_Upeneus sulphureus_775252575.jpg,Mullidae,Upeneus,sulphureus_775252575.jpg,Upeneus sulphureus,5.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus niger_369669289.jpg,Scaridae,Scarus,niger_369669289.jpg,Scarus niger,3.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus chameleon_-1530336058.jpg,Scaridae,Scarus,chameleon_-1530336058.jpg,Scarus chameleon,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Calotomus_Calotomus spinidens_-770735611.jpg,Scaridae,Calotomus,spinidens_-770735611.jpg,Calotomus spinidens,3.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus prasiognathos_-433430792.jpg,Scaridae,Scarus,prasiognathos_-433430792.jpg,Scarus prasiognathos,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Chlorurus_Chlorurus gibbus_1085248605.jpg,Scaridae,Chlorurus,gibbus_1085248605.jpg,Chlorurus gibbus,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Hipposcarus_Hipposcarus longiceps_917266927.jpg,Scaridae,Hipposcarus,longiceps_917266927.jpg,Hipposcarus longiceps,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus caudofasciatus_-929217534.jpg,Scaridae,Scarus,caudofasciatus_-929217534.jpg,Scarus caudofasciatus,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus russelii_799609163.jpg,Scaridae,Scarus,russelii_799609163.jpg,Scarus russelii,3.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus chameleon_-679688146.jpg,Scaridae,Scarus,chameleon_-679688146.jpg,Scarus chameleon,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus russelii_1533468338.jpg,Scaridae,Scarus,russelii_1533468338.jpg,Scarus russelii,3.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Calotomus_Calotomus japonicus_-2126703247.jpg,Scaridae,Calotomus,japonicus_-2126703247.jpg,Calotomus japonicus,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus viridifucatus_2103233781.jpg,Scaridae,Scarus,viridifucatus_2103233781.jpg,Scarus viridifucatus,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Leptoscarus_Leptoscarus vaigiensis_1553226064.jpg,Scaridae,Leptoscarus,vaigiensis_1553226064.jpg,Leptoscarus vaigiensis,9.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Cetoscarus_Cetoscarus bicolor_832253429.jpg,Scaridae,Cetoscarus,bicolor_832253429.jpg,Cetoscarus bicolor,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Chlorurus_Chlorurus genazonatus_321464919.jpg,Scaridae,Chlorurus,genazonatus_321464919.jpg,Chlorurus genazonatus,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus koputea_1047802127.jpg,Scaridae,Scarus,koputea_1047802127.jpg,Scarus koputea,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus ferrugineus_-399667692.jpg,Scaridae,Scarus,ferrugineus_-399667692.jpg,Scarus ferrugineus,3.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus ghobban_1827327830.jpg,Scaridae,Scarus,ghobban_1827327830.jpg,Scarus ghobban,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus arabicus_425956447.jpg,Scaridae,Scarus,arabicus_425956447.jpg,Scarus arabicus,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Cetoscarus_Cetoscarus bicolor_-1642696124.jpg,Scaridae,Cetoscarus,bicolor_-1642696124.jpg,Cetoscarus bicolor,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus quoyi_75732959.jpg,Scaridae,Scarus,quoyi_75732959.jpg,Scarus quoyi,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Cetoscarus_Cetoscarus bicolor_1875954598.jpg,Scaridae,Cetoscarus,bicolor_1875954598.jpg,Cetoscarus bicolor,0.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus obishime_-118280449.jpg,Scaridae,Scarus,obishime_-118280449.jpg,Scarus obishime,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Chlorurus_Chlorurus bowersi_1412183870.jpg,Scaridae,Chlorurus,bowersi_1412183870.jpg,Chlorurus bowersi,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus psittacus_624944935.jpg,Scaridae,Scarus,psittacus_624944935.jpg,Scarus psittacus,3.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Calotomus_Calotomus japonicus_806395143.jpg,Scaridae,Calotomus,japonicus_806395143.jpg,Calotomus japonicus,9.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Chlorurus_Chlorurus perspicillatus_-1854483554.jpg,Scaridae,Chlorurus,perspicillatus_-1854483554.jpg,Chlorurus perspicillatus,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Chlorurus_Chlorurus perspicillatus_-231889331.jpg,Scaridae,Chlorurus,perspicillatus_-231889331.jpg,Chlorurus perspicillatus,3.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Hipposcarus_Hipposcarus harid_580736061.jpg,Scaridae,Hipposcarus,harid_580736061.jpg,Hipposcarus harid,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus schlegeli_1642018934.jpg,Scaridae,Scarus,schlegeli_1642018934.jpg,Scarus schlegeli,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus coeruleus_-385580651.jpg,Scaridae,Scarus,coeruleus_-385580651.jpg,Scarus coeruleus,7.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus obishime_1326946230.jpg,Scaridae,Scarus,obishime_1326946230.jpg,Scarus obishime,3.0
/Users/shawn/Developer/randall_interested_edited/Scaridae/Scarus_Scarus schlegeli_746301386.jpg,Scaridae,Scarus,schlegeli_746301386.jpg,Scarus schlegeli,7.0
